Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Full Link
spotify:track:0dfQwyoZoS9LgQiU6AJO7f,100% Pure Love,spotify:artist:2sd9Q3r0Jhqpe3w9WVuG43,Crystal Waters,spotify:album:3u9FnafwttOYXAz9fznSAg,The Best Of Crystal Waters,spotify:artist:2sd9Q3r0Jhqpe3w9WVuG43,Crystal Waters,https://i.scdn.co/image/ab67616d0000b27394e92a1b79c5beec12942090,1,2,278626,https://p.scdn.co/mp3-preview/3026ab3f76ba2d87709a39c3190b6b2de5b50a97?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,56,USPR39400444,https://open.spotify.com/track/0dfQwyoZoS9LgQiU6AJO7f
spotify:track:1IsGA5ceSC4a5nxgAEYnQd,Only Happy When It Rains,spotify:artist:6S0GHTqz5sxK5f9HtLXn9q,Garbage,spotify:album:1Vze7jtjAVQOdIIQ8oO2X7,Garbage (20th Anniversary Deluxe Edition/Remastered),spotify:artist:6S0GHTqz5sxK5f9HtLXn9q,Garbage,https://i.scdn.co/image/ab67616d0000b273da79cbc3b29d31b96ee3fc3d,1,3,236533,https://p.scdn.co/mp3-preview/26a2d72e262b89dab6b6d9ef078b7fce528fac5f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,55,USGF19500403,https://open.spotify.com/track/1IsGA5ceSC4a5nxgAEYnQd
spotify:track:4vDBJeeQCbhP9FaPPMsYkY,Give Me One Reason,spotify:artist:7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,spotify:album:3XsOzkIBoHsxZ7jP3QF2oB,New Beginning,spotify:artist:7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,https://i.scdn.co/image/ab67616d0000b2736b38571f15487588ed53032f,1,9,268333,https://p.scdn.co/mp3-preview/6f84b6795d9c31712cea82f088fdf42d80617444?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,69,USEE19900169,https://open.spotify.com/track/4vDBJeeQCbhP9FaPPMsYkY
spotify:track:3IrhUrZKAkJ8LsFtH71fOT,Discotheque,spotify:artist:51Blml2LZPmy7TTiAg47vQ,U2,spotify:album:5mojJwWgWNJcY3odUGgQc3,Pop,spotify:artist:51Blml2LZPmy7TTiAg47vQ,U2,https://i.scdn.co/image/ab67616d0000b2739b9cc2ad0ee4076cb900b4ee,1,1,318666,https://p.scdn.co/mp3-preview/5a614709f0dfad7e28efafd4168a6c254627c24e?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,48,GBAAN9700001,https://open.spotify.com/track/3IrhUrZKAkJ8LsFtH71fOT
spotify:track:3Tbs9O6zy07BjjCU1omonJ,Polyester Bride,spotify:artist:2LXeJdQVcFkhkWydphLI74,Liz Phair,spotify:album:7eWv8vdJnYcTIP2BkQRNPy,Whitechocolatespaceegg,spotify:artist:2LXeJdQVcFkhkWydphLI74,Liz Phair,https://i.scdn.co/image/ab67616d0000b2733c7075bc56da9cff1f24e6f9,1,5,245466,https://p.scdn.co/mp3-preview/d283d0b6a9fcd3f2b4c282a2f254baeb5f91a4f5?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,39,USMA39800005,https://open.spotify.com/track/3Tbs9O6zy07BjjCU1omonJ
spotify:track:3tRv4ZYZimrL27flnjgeR6,Every You Every Me,spotify:artist:6RZUqkomCmb8zCRqc9eznB,Placebo,spotify:album:2cDDG5rnwEgjNL8Q0cO9Zd,Without You I'm Nothing,spotify:artist:6RZUqkomCmb8zCRqc9eznB,Placebo,https://i.scdn.co/image/ab67616d0000b273ac68d5f575b62ee76a235396,1,8,213800,,FALSE,43,GBAAA9820460,https://open.spotify.com/track/3tRv4ZYZimrL27flnjgeR6
spotify:track:5hYr8yRbQLFE20oS7Mi3T2,(Rock) Superstar (feat. Chino Moreno & Everlast),"spotify:artist:4P0dddbxPil35MNN9G2MEX, spotify:artist:0Wfo0pd0KC47vx7uUEVOQ9, spotify:artist:14ZxDAK6ITtZZqPdiWrvSn","Cypress Hill, Chino Moreno, Everlast",spotify:album:31XG9UWJIXSXSsPUEsh3D2,Skull & Bones,spotify:artist:4P0dddbxPil35MNN9G2MEX,Cypress Hill,https://i.scdn.co/image/ab67616d0000b2732f92a8d5889dd6e36c14aa34,2,6,276866,https://p.scdn.co/mp3-preview/048c0636a34f660b29cc9dcbbe6767953ddad5bf?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,63,USSM10000994,https://open.spotify.com/track/5hYr8yRbQLFE20oS7Mi3T2
spotify:track:08kB9HSfrcIi83rymwgjMz,Weapon Of Choice,spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW,Fatboy Slim,spotify:album:6GSF3YIop0uuOUkSx8n9QJ,The Greatest Hits: Why Try Harder,spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW,Fatboy Slim,https://i.scdn.co/image/ab67616d0000b273bec2d7f1e2e518ccf4af1ce1,1,4,219813,https://p.scdn.co/mp3-preview/668eed7e3cd09f3b9a828e2080c1cc69000f9af8?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,49,GBBMQ0600006,https://open.spotify.com/track/08kB9HSfrcIi83rymwgjMz
spotify:track:1zHJcfZdzO7d0hf3vjQWxT,Glass Danse,spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk,The Faint,spotify:album:5jzG3d0di3AEUHfCFxOBb1,Danse Macabre (Deluxe Edition) [Remastered],spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk,The Faint,https://i.scdn.co/image/ab67616d0000b273e2c63acf17ddc2f29b1e8652,1,2,177440,https://p.scdn.co/mp3-preview/a3ccb33673c58d6c65988221f10a9e495e209088?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,32,US2U61218002,https://open.spotify.com/track/1zHJcfZdzO7d0hf3vjQWxT
spotify:track:75z2YLg5Lkqf6qL9XOY8tV,Such Great Heights,spotify:artist:5yV1qdnmxyIYiSFB02wpDj,The Postal Service,spotify:album:1BSwkKATGVCMgNuN8ve7mz,Give Up,spotify:artist:5yV1qdnmxyIYiSFB02wpDj,The Postal Service,https://i.scdn.co/image/ab67616d0000b273df6e579914fc309b0e0bd745,1,2,266346,https://p.scdn.co/mp3-preview/804d33222301195787f0b94f0e2614f87dc6fd52?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,54,USSUB0300120,https://open.spotify.com/track/75z2YLg5Lkqf6qL9XOY8tV
